"Story","Title","Result","Date","Stability","Duration (s)"
"Dado que soy Acudiente","Registro de Acudiente","SUCCESS","2022-04-28T18:17:24.586359-05:00[America/Bogota]","0.0","19.98"
"Iniciar sesion","Inicio de sesion","SUCCESS","2022-04-28T18:17:45.078733-05:00[America/Bogota]","0.0","8.76"
